"ledger_bucket","rank","id","company","role_zh","original_role","tier","status","location_bucket","location","language_path","experience_path","experience_requirement","direction","chinese_relevant","formal","internship","score","source_score","posted_at","primary_url","all_links","status_evidence","analysis"
"current-main","83","930899","CRAZE GmbH","编辑与品牌平面设计师（玩具及儿童产品）","Editorial Graphic Designer – Toys & Kids Products","B","live","barcelona","Sabadell / Barcelona 省 / 全职","english","mid","中级 / 2–3 年专业平面设计经验","brand","false","true","false","8","12","2026-08-13","https://www.linkedin.com/jobs/view/4454009307","https://www.linkedin.com/jobs/view/4454009307 | https://craze-group.com/karriere","2026-08-13 重新打开 CRAZE 原始详情：Sabadell 全职、2–3 年、编辑/版式/品牌/包装职责、spoken and written English mandatory 和申请控制仍在。","Add as a genuine new Barcelona-province brand/graphic-design backup, not as a Chinese-language opportunity. The 2–3 year threshold and hands-on VI/packaging/editorial scope are relevant, but mandatory spoken and written English is a material gate for this user, so the personal score must remain within the explicit-English ceiling. Apply only if the portfolio and interview can be handled in English; confirm salary, contract entity, onsite rhythm and commute before investing in a tailored application."
"current-main","84","910","LABHOUSE","ASO 视觉设计师（App 品牌与增长）","Graphic Designer - Growth Team","B","live","remote","西班牙远程 / Barcelona 可每周到岗约 2 天","english","junior","初中级 / 2 年以上","digital","false","true","false","8","100","","https://jobs.ashbyhq.com/labhouse/62d820a0-f2b6-4a8f-a909-a964d867438d","https://jobs.ashbyhq.com/labhouse/62d820a0-f2b6-4a8f-a909-a964d867438d | https://jobs.ashbyhq.com/labhouse/62d820a0-f2b6-4a8f-a909-a964d867438d/application","2026-08-13 重新打开 LABHOUSE 官方 Ashby：Spain remote、全职、2+ 年、Fluent in English（Spanish only a plus）和申请入口仍在。","Same original job URL: use the canonical B-tier ASO/app-growth score and do not allow translated duplicates to outrank it."
"current-main","85","914","Trivelta","平面设计师（品牌、数字、活动与社媒）","Graphic Designer","B","live","barcelona","正文写 Barcelona hybrid；页面元数据写 remote，需确认","english","junior","初中级 / 1–3 年","brand","false","true","false","8","96","","https://job-boards.greenhouse.io/trivelta/jobs/4235534009","https://job-boards.greenhouse.io/trivelta/jobs/4235534009","2026-08-13 重新打开 Trivelta 官方 Greenhouse：正文为 Barcelona hybrid，元数据写 remote；1–3 年、Strong working English、三品牌多渠道职责和完整申请表均确认。","Keep as a current B-tier, verify-first Barcelona brand-production opportunity. It is an unusually complete early-career brand/digital/print role with a real ATS form, but do not assume Barcelona residency or hybrid access until Trivelta confirms whether Remote means Spain-remote, Barcelona-based hybrid or another hiring location. Ask about Spain entity, office days, salary and daily language before applying."
"closed-history","86","1171","InfoHuaxin / 欧浪","品牌视觉 / VI相关机会","Current indexed results after 2026-07-29","X","closed","barcelona","巴塞罗那及周边","chineseCheck","unknown","经验要求未说明","brand","true","false","false","8","44","","","","Closed/history: source index, search snapshot, channel monitor, related-result page or duplicate of a canonical employer detail. Original URL and notes remain preserved for future source rotation.","Move to closed/history. Do not treat this research/index record as an independent vacancy; add a fresh card only when an employer-owned current detail and application route are verified."
"closed-history","87","1215","InfoHuaxin, Xihua Cataluña, Huarenjie, BBS.eus, Casa Asia and Eulam/欧浪","品牌视觉 / VI相关机会","Current visible Barcelona/Cataluña material is non-design, an existing A644055418 design route, a Madrid job-seeker post, or an unstable/stale signal; no new employer-owned Barcelona design detail cleared all checks","X","closed","barcelona","巴塞罗那及周边","chineseCheck","unknown","经验要求未说明","brand","true","false","false","8","44","","","","Closed/history: duplicate or mirror of a canonical Chinese-source identity already retained in the active library. Original link and source note are preserved for audit; do not count as a second vacancy.","Move duplicate-source card to history. Use the canonical active identity for application and keep this record only to trace the original channel/repost."
"other-location-or-unclear","88","15","BYD Europe","平面设计师","After Sales - Graphic Designer","C","live","other","其他地区或未说明","english","junior","初级 / 2 年左右","digital","true","true","false","7.8","90","","https://careers.bydeurope.com/jobs/7457979-after-sales-graphic-designer","https://careers.bydeurope.com/jobs/7457979-after-sales-graphic-designer | https://careers.bydeurope.com/jobs","Official Teamtailor page is live with Apply; 2+ years; no explicit language requirement in visible copy; salary/visa not published","Creates APP/community posts, banners, announcements, campaigns, feature guides and engagement materials; adapts core design assets across EN/IT/DE/FR/ES/NL; builds reusable templates and visual guidelines; manages assets and optimization. Europe fallback only, but very aligned with digital brand extension and multilingual asset systems."
"review-required","89","1068","GRUP MEDIAPRO / employer careers","其他设计相关相关机会","Diseñador/a gráfico junior, 3Cat digital content","C","verify","barcelona","巴塞罗那及周边","unknown","junior","初级 / 实习","other","false","true","false","7.7","76","","","","Existing C-level row only; no duplicate. Keep below English-first routes because Catalan is indispensable.",""
"current-main","90","884","Dragons Group","中级平面设计师（健康与医疗）","Mid Graphic Designer - Wellness & Healthcare","B","live","barcelona","巴塞罗那 / 混合办公 / 永久全职","english","mid","中级 / 医疗、健康或受监管行业经验加分","digital","false","true","false","7.4","106","","https://dragons-group.factorialhr.com/job_posting/mid-graphic-designer-wellness-and-healthcare-308056","https://dragons-group.factorialhr.com/job_posting/mid-graphic-designer-wellness-and-healthcare-308056 | https://dragons-group.factorialhr.com/apply/mid-graphic-designer-wellness-and-healthcare-308056","2026-08-13 重新打开 Dragons 官方 Factorial：Barcelona 永久全职混合办公、Mid Graphic Designer、医疗/健康视觉职责、fluent English 和 Apply 均确认。","Verified B-tier Barcelona graphic-design opening, but it is regulated healthcare execution rather than primary brand-identity ownership. Apply in English with precise typography, clear information design, digital campaign and brand-adaptation work; confirm salary and work authorisation before interviewing."
"current-main","91","930820","Siemens Digital Industries Software","UI / 视觉设计师（图标系统与 2D/3D 视觉）","UI / Visual Designer","C","live","barcelona","Barcelona / hybrid / 全职 / €42,100–67,100","english","mid","中级 / UI visual 与 2D/3D 图形","digital","false","true","false","7.4","64","2026-08-11","https://jobs.siemens.com/externaljobs/JobDetail/516087","https://jobs.siemens.com/externaljobs/JobDetail/516087 | https://www.linkedin.com/jobs/view/4451904764","2026-08-13 重新打开 Siemens 官方职位 516087：Barcelona、当前申请入口、2D/3D 图标与 UI 视觉系统职责、advanced English 和 €42,100–67,100 薪资仍在。","A real English-friendly Barcelona visual-design opportunity with transparent pay. It is product UI and technical iconography rather than brand identity ownership, so keep it below direct brand/VI roles and apply only with precise icon-system, Figma, Adobe and 3D work."
"researched-not-in-main","92","1817","Lodgify / official Lever ATS","创意设计师","Creative Designer","B","live","remote","远程 / 欧洲","unknown","mid","中级 / 3 年以上","brand","false","false","false","7.4","106","","https://jobs.lever.co/lodgify/f3ab2d95-5a5c-4a60-8c0c-a0f71127ce04","https://jobs.lever.co/lodgify/f3ab2d95-5a5c-4a60-8c0c-a0f71127ce04 | https://jobs.lever.co/lodgify/f3ab2d95-5a5c-4a60-8c0c-a0f71127ce04/apply","Current official Lever detail was opened directly on 2026-08-09. It visibly lists Creative Designer, Europe, Remote, Freelance Contract and apply for this job. Scope is omnichannel marketing design, brand evolution, explainers/product visuals, AI art direction, scalable workflows/templates and Figma design systems; it requires 3+ years and strong English. It states competitive EUR pay and a yearly Barcelona gathering, but omits actual rate, Spain contractor route, contract duration, country eligibility, tax entity and benefits by contract type.","Verified B-tier Europe-remote creative/brand role. It has unusually strong brand-system and marketing relevance, but is freelance and not a guaranteed Spanish employment contract. Apply in English with brand evolution, omnichannel assets, product explainers, Figma systems and AI workflow cases; first confirm Spain contractor eligibility, EUR rate, invoicing/tax, duration and workload."
"current-main","93","207","Publicis Production / Publicis Groupe España","设计师（全球品牌 Campaign 与数字制作）","Designer","C","live","barcelona","Barcelona / 全职 / 办公节奏待确认","english","mid","中级 / 3–4 年或相关学历","digital","false","true","false","7.2","98","2026-08-02","https://es.linkedin.com/jobs/view/designer-at-publicis-groupe-espa%C3%B1a-4431861080","https://es.linkedin.com/jobs/view/designer-at-publicis-groupe-espa%C3%B1a-4431861080","2026-08-13 重新打开 Publicis 原始雇主详情：Barcelona 全职、全球品牌 campaign/数字制作、3–4+ 年、advanced English 面试考核和申请入口仍在。","Keep as a current Barcelona C-tier production-design option, not a top brand-system lead. Apply in English with global-campaign key visuals, responsive/email/banner systems, shopper/retail assets, production-ready artwork and retouching; confirm daily Spanish requirement, salary, contract and hybrid cadence before investing heavily."
"researched-not-in-main","94","879","Bisubi","短视频内容创作者（TikTok / Reels / Shorts）","短视频内容创作者 / Video Content Creator — Short Form","D","live","remote","西班牙远程 / 兼职灵活","english","junior","初级 / 未要求经验","social","false","false","false","7.2","62","2026-07-02","https://jobtoday.com/es/trabajo/video-content-creator-short-form-8Pwzyb?locale=en","https://jobtoday.com/es/trabajo/video-content-creator-short-form-8Pwzyb?locale=en","JobToday 原始职位发布于 2026-07-02，2026-07-26 仍显示雇主活跃并可申请。工作为 TikTok、Reels 和 Shorts 的拍摄 / 剪辑，未列经验要求；要求高级英语，可全远程、时间灵活、按周付款。公开费率 EUR10/小时，明显低于优先品牌视觉岗位，且职责不是 VI","列 D 级低薪备用。只有需要短期补充收入、且能把工时边界写进合同时考虑；先确认每周保底工时、合同 / 发票主体、修订次数、素材版权、付款保障和是否要求自备设备。不做无薪样片。"
"madrid-excluded","95","576","Farmasi","平面设计师","Junior Graphic Designer, Branding (Europe)","C","live","madrid","马德里及周边","english","junior","初级 / 实习","production","false","true","false","7.2","92","","https://es.linkedin.com/jobs/view/junior-graphic-designer-branding-europe-at-farmasi-4438494827","https://es.linkedin.com/jobs/view/junior-graphic-designer-branding-europe-at-farmasi-4438494827","LinkedIn job detail crawled 2026-07-21 and shows Apply; posted about 4 days ago; fluent English required; Spanish not surfaced for this role; full-time; salary/visa not published","Priority application despite Madrid: adapts and localizes digital/print marketing materials for European markets, product launches, promotions, events, local campaigns, video/social assets, translations, artwork updates, templates and brand resources. It is explicitly adaptation/localization rather than original campaign creation, so position the portfolio around brand consistency, layout systems, multilingual rollout and production accuracy."
"researched-not-in-main","96","994","Dragons Group / official jobs hub","品牌视觉 / VI相关机会","Barcelona creative design roles（状态刷新，不新增）","C","live","barcelona","巴塞罗那及周边","unknown","unknown","经验要求未说明","brand","false","false","false","7.2","86","","https://joinus.dragons-group.com/jobs","https://joinus.dragons-group.com/jobs | https://dragons-group.factorialhr.com/","Current official hub/search results still expose multiple Barcelona design roles with Apply; individual roles have different Spanish gates and experience levels. Existing tracker records remain authoritative; no new role was created from the hub list.","Continue separating English-first packaging/POS and Senior UX/Web routes from Spanish-mandatory graphic/social roles; open each live requisition before applying and confirm salary, travel and language."
"review-required","97","947","FYST / 官方 Ashby","视觉设计师","Presentation & Visual Designer（既有岗位状态刷新）","D","verify","remote","远程 / 欧洲","english","junior","初级 / 2 年左右","brand","false","true","false","7.2","68","","https://jobs.ashbyhq.com/fyst/ee3a3ced-6232-46b4-89c6-1fe43c78b205/","https://jobs.ashbyhq.com/fyst/ee3a3ced-6232-46b4-89c6-1fe43c78b205/","继续保留但不进入低语言优先列表。仅在俄语可工作或作为目标行业 benchmark 时投；先确认合同、工作时间、合规行业接受度与语言使用比例。",""
"review-required","98","1051","Colvin / employer LinkedIn original detail","视觉设计师","Junior Audiovisual Designer (Generative AI Focus)","C","verify","barcelona","巴塞罗那及周边","unknown","junior","初级 / 实习","social","false","false","false","7.2","68","","https://es.linkedin.com/jobs/view/junior-audiovisual-designer-generative-ai-focus-%F0%9F%8C%B7-at-colvin-4440441421","https://es.linkedin.com/jobs/view/junior-audiovisual-designer-generative-ai-focus-%F0%9F%8C%B7-at-colvin-4440441421 | https://colvin.factorial.es/","Original LinkedIn job detail is readable and shows 6 days old / 26 applications. Scope covers 9:16 Meta/TikTok/Instagram video, testing variants, brand-marketing assets, brand-kit consistency and AI product-image editing. Selection is under two weeks and includes a paid €150 practical test","Good local backup if 20h and junior level are acceptable. Ask whether the role is still receiving applications, whether Spanish is needed for internal work, whether hours can expand, and whether the paid test has written IP/usage terms. Submit a short motion/AI reel and one brand-guided performance-variant case; do not send a full unpaid campaign."
"current-main","99","930840","Zurich Insurance","创意策略师（社交内容与品牌平台）","Creative Strategist","C","live","barcelona","Barcelona / 工作制待确认","english","mid","中级 / 约 4 年","digital","false","false","false","7.1","57","2026-08-12","https://www.careers.zurich.com/job/Barcelona-Creative-Strategist/1368922057/","https://www.careers.zurich.com/job/Barcelona-Creative-Strategist/1368922057/","2026-08-13 重新打开 Zurich 官方职位 1368922057：Barcelona 全职、约 4 年、High level of English、社交创意策略职责和 Apply now 仍在。","Useful Barcelona brand-adjacent work, but it is strategy and briefing rather than a hands-on VI or graphic-design execution role. Keep below direct visual-design jobs and apply only if the portfolio demonstrates campaign thinking, social concepts and clear creative frameworks."
"researched-not-in-main","100","480","TWOJEYS / official Personio ATS","平面设计师","Apparel Graphic Designer","C","live","barcelona","巴塞罗那及周边","unknown","unknown","经验要求未说明","production","false","true","false","7.1","96","","https://twojeys.jobs.personio.com/job/2686782?language=es","https://twojeys.jobs.personio.com/job/2686782?language=es | https://twojeys.jobs.personio.com/?language=es","Current official Personio detail was opened directly on 2026-08-09 and visibly shows Apparel Graphic Designer, HQ Barcelona, full-time, permanent and Solicitar este puesto de trabajo. The role creates graphics, prints, placements and artworks for apparel and accessories, develops collections and product/brand language, and carries concepts through production-ready final art. It requires Adobe Illustrator, Photoshop and InDesign plus native or advanced Spanish; English is not stated as a hard gate.","Keep as a current Barcelona graphic/brand-product role. It is a genuine visual-language opening but fashion/apparel rather than corporate VI or digital brand systems; apply with apparel graphics, print/placement systems, production files and Spanish-ready case studies, then confirm salary, office rhythm and work permit."
"current-main","101","886","JUNGLE / MeMe","社交艺术指导（图像与视频编辑）","Social Art Director (edición de imagen y video) | MeMe Barcelona","C","live","barcelona","巴塞罗那 / Calle Álava 111","spanishLikely","open","初级或资深均可 / 未写固定年限","social","false","true","false","7","90","2026-08-10","https://wejungle.factorial.es/job_posting/social-art-director-edicion-de-imagen-y-video-meme-barcelona-314341","https://wejungle.factorial.es/job_posting/social-art-director-edicion-de-imagen-y-video-meme-barcelona-314341 | https://es.linkedin.com/jobs/view/video-social-editor-meme-barcelona-at-jungle-4441503440","2026-08-13 复核：JUNGLE 官方 Factorial 职位板仍列出精确职位 314341、Barcelona hybrid、无固定期限合同和“Inscríbete ahora”；旧卡名已按当前官方名称修正。","Recover as a current secondary Barcelona visual-content role. It is social-first rather than VI ownership, and the Spanish-first workflow must be confirmed, but the hands-on design/video scope, salary and application route are concrete."
"current-main","102","930711","JUNGLE / MeMe","社交创意（品牌内容与短视频）","Social Creative MeMe Barcelona","C","live","barcelona","Barcelona / Calle Álava 111 / 全职无固定期限","spanishLikely","junior","至少 1 年社交创意经验","social","false","true","false","7","86","2026-08-09","https://wejungle.factorial.es/","https://wejungle.factorial.es/ | https://es.linkedin.com/jobs/view/social-creative-meme-barcelona-at-jungle-4441035715","2026-08-13 重新打开 JUNGLE/MeMe 原始 JobPosting：Barcelona 永久全职、至少 1 年、社交创意职责和申请入口仍在；正文没有英语条款，完整工作说明为西语，法语仅加分。","Recover only as a secondary social-creative route. The role is more ideas, copy, community and fast content than graphic/VI design, so it stays below hands-on brand and visual-production jobs."
"current-main","103","930819","AC Marca","包装平面设计师（品牌手册国际落地与完稿）","Diseñador/a Gráfico — proyecto temporal","C","live","barcelona","Hospitalet de Llobregat / 现场 / 一年临时项目","spanishLikely","junior","初中级 / 包装、标签或修图经验加分","production","false","false","false","7","86","2026-08-06","https://www.linkedin.com/jobs/view/4448018251","https://www.linkedin.com/jobs/view/4448018251","2026-08-13 重新打开 AC Marca 原始 LinkedIn：Hospitalet 一年临时项目、包装/标签/修图职责和申请仍在；English/Portuguese 仅为加分项，未列必需语言等级。","A concrete packaging and brand-implementation opportunity, but temporary and production-heavy. Apply with packaging systems, final artwork, colour proofing, international adaptation and product mockups; confirm salary and daily language."
"current-main","104","930825","Dragons Group","视频剪辑与动态创意（品牌内容）","Video Editor & Motion Creative","C","live","barcelona","Barcelona / hybrid / 永久全职","english","mid","中级 / 3–5 年","motion","false","true","false","7","70","2026-08-06","https://dragons-group.factorialhr.com/job_posting/video-editor-motion-creative-308034","https://dragons-group.factorialhr.com/job_posting/video-editor-motion-creative-308034 | https://dragons-group.factorialhr.com/apply/video-editor-motion-creative-308034 | https://www.linkedin.com/jobs/view/4448084343","2026-08-13 重新打开 Dragons 官方 Factorial 308034：Barcelona hybrid 永久全职、3–5 年、Fluent English、视频剪辑主职与 Apply 均确认。","A credible English-friendly local motion route. Video editing is the primary craft and motion is complementary, so keep it below direct VI and graphic-system roles; apply with branded short-form storytelling, campaign edits and restrained motion systems."
"current-main","105","930821","Eurostars Hotel Company / Hospitaliti","初级标识与图形制作专员（空间 VI）","Técnico/a Junior de Señalética y Producción Gráfica","C","live","barcelona","Barcelona / 现场全职 / 偶尔出差到酒店与工地","spanishLikely","junior","初级 / 相关实习或标识、零售、空间经验加分","production","false","true","false","7","61","2026-08-10","https://www.linkedin.com/jobs/view/4451125314","https://www.linkedin.com/jobs/view/4451125314 | https://easyapply.jobs/r/pIQ1T8p27140Zp4flZqN","2026-08-13 重新打开 Hospitaliti 原始 LinkedIn：Barcelona 现场全职、标识/完稿/手册/供应商和工地跟进职责仍在；没有正式语言等级，完整职责为西语。","A relevant junior physical-VI and signage-extension opportunity, but the Spanish working environment and non-employer application endpoint are material gates. Confirm the employer, contract, salary, language and data recipient before uploading documents."
"current-main","106","877","Eurofirms / 未公开包装客户","平面设计与包装完稿专员","平面设计与包装完稿专员 / Diseñador/a gráfico/a — artes finales y packaging","C","live","barcelona","Cerdanyola del Vallès / 现场早班","spanishLikely","junior","初级 / 1 年以上","production","false","true","false","7","29","2026-06-25","https://jobtoday.com/es/trabajo/disenador-a-grafico-6g3oVr","https://jobtoday.com/es/trabajo/disenador-a-grafico-6g3oVr","2026-08-13 重新打开 JOB TODAY 6g3oVr：Cerdanyola 全职早班、1 年以上、€12.78/小时、临时合同和 Apply still live；正文没有语言等级，完整工作说明为西语。","Recover as a lower-priority packaging-production option. The EUR12.78/hour temporary contract and final-art focus are major tradeoffs, but the location and application route are real."
"current-main","107","78","Textura Interiors","数字设计师（视觉识别与全渠道品牌延展）","Digital Designer","A","live","barcelona","Barcelona / 官网邮箱投递 / 合同与办公模式待确认","spanishLikely","mid","3+ 年","brand","false","false","false","7","88","","https://www.textura-interiors.com/en/pages/trabaja-con-nosotros-digital-designer","https://www.textura-interiors.com/en/pages/trabaja-con-nosotros-digital-designer | mailto:cv@textura-interiors.com","2026-08-13 重新打开 Textura 官方 Digital Designer 页面：Barcelona 邮箱投递、品牌视觉/数字延展、3+ 年和 HTML 邮件要求仍在；没有语言、薪资或合同条款。","Refresh and rank high because the work directly evolves a brand identity into guidelines, campaigns, social, web, landing pages, banners, email and POS. Send a brief availability/language check before tailoring the full portfolio."
"current-main","108","228","Bending Spoons","应届媒体设计师（品牌资产、社媒与产品视觉）","Graduate Media Designer","C","live","remote","欧洲远程候选 / Spain 资格需确认 / 前数月可能需常驻 Milan","english","junior","应届 / Graduate route","digital","false","true","false","7","86","","https://jobs.bendingspoons.com/positions/69dd6be07543f6ddbdacac4f/apply","https://jobs.bendingspoons.com/positions/69dd6be07543f6ddbdacac4f/apply","2026-08-13 重新打开 Bending Spoons Graduate Media Designer 申请页：申请仍可填写并要求英文 CV；可选 Remote，但 Spain 资格和前期 Milan 节奏仍需确认。","官方申请页可直接填写，当前开放；官方并未把Barcelona列为固定工作地"
"current-main","109","1257","Iôsif Bar / JOB TODAY","Instagram 社媒与平面设计师","CM de Instagram & Diseñador Gráfico","C","live","barcelona","巴塞罗那","spanishLikely","open","未要求工作经验","social","false","true","false","7","82","","https://jobtoday.com/es/trabajo/cm-de-instagram-and-disenador-grafico-BwnwpX","https://jobtoday.com/es/trabajo/cm-de-instagram-and-disenador-grafico-BwnwpX | https://jobtoday.com/es/company/bar-restaurante-tematico-iosif-bar-WLBrA7","2026-08-13 复核：JOB TODAY 原始详情仍显示全职、无需经验及 2026-09-05 有效期；本地西语环境很可能。","**新增 1 条 Barcelona 本地次级线索。** 岗位负责 Sarraceno Club、Hungry Frida、Sopitas & Cevichitos、TeleVeg 四条餐饮线的 Instagram，适合展示餐饮品牌视觉、菜单/海报、社媒模板、短视频封面和内容系列。先确认实际每日职责、是否要拍摄/剪辑、薪资、合同/全保、工作语言与是否仍招；不要把“面试明日/活跃几分钟前”当成正式发布日期，也不当作中文岗。"
"current-main","110","446","Refokus","品牌设计师（VI 系统与数字品牌延展）","Brand Designer","C","live","remote","全球远程 / 西班牙可投 / 全职","englishLikely","mid","中级 / 3 年以上","brand","false","true","false","6.9","76","","https://www.refokus.com/careers/brand-designer","https://www.refokus.com/careers/brand-designer","2026-08-13 重新打开 Refokus 官方 Brand Designer：Remote Worldwide、Full-Time、Logo/品牌指南/手册/数字品牌和 3+ 年仍在；正文未写语言等级。","Covers logo systems, brand manuals, presentation/sales-enablement systems, social/promotional assets, AI-assisted on-brand production and digital-brand/web experimentation. Very good English-first cold application; ask whether the role is employee or contractor and whether Spain is accepted before submitting personal data."
"other-location-or-unclear","111","885","Social Scout","电商产品详情页设计师（PDP / 转化设计）","Landing Page & PDP Designer","C","live","other","西班牙远程 / contractor；约 15:00–23:00","english","junior","初中级 / 2 年以上","ecommerce","false","false","false","6.8","82","2026-07-23","https://www.linkedin.com/jobs/view/4444718491","https://www.linkedin.com/jobs/view/4444718491","Current application is open: LinkedIn detail 4444718491 was opened on 2026-08-09 and visibly shows Apply. The full brief says 40 hours/week, contractor engagement, fluent English and remote from anywhere; it requires DTC PDP/landing-page/CRO work, Figma design systems, Shopify/HTML/CSS and 2+ years. LinkedIn labels the post Barcelona/on-site while the employer brief says worldwide remote, so Spain employment eligibility and actual location remain inconsistent. Compensation is only 鈥渉ighly competitive鈥?","Keep as a C-tier global-contractor digital-design lead, not a Barcelona/Spain-remote default job. Apply only if the US-East schedule and contractor/tax arrangement work; first confirm Spain eligibility, contract entity, guaranteed rate/hours and the employer application destination."
"review-required","112","638","ZABRISKIE STUDIO / GRUPO NATURA","广告印刷 / 平面制作相关机会","Diseñador/a Grafico/a Junior reverified current InfoJobs","X","verify","barcelona","巴塞罗那及周边","unknown","junior","初级 / 实习","production","false","true","false","6.7","34","","https://www.infojobs.net/barcelona/disenador-grafico-junior/of-i62ce6602174df08577dee1707bf0be","https://www.infojobs.net/barcelona/disenador-grafico-junior/of-i62ce6602174df08577dee1707bf0be","InfoJobs page is live with ""Inscribirme""; posted 4 days ago; permanent full-time; EUR20,000-27,000 gross/year; 294 applicants; Spanish native/bilingual is required, Catalan and English intermediate; 2+ years; one vacancy","Strong content fit but low language fit: packaging for gift/home/cosmetics/wellness/accessories/fashion, campaign graphics, final artwork, labels/instructions, retouching/mockups, catalogues, presentations, illustration, prints, AI tools, supplier print checks and trend research. Good if Spanish improves or if the user wants to benchmark packaging/consumer-product portfolio needs; not a priority under current weak-Spanish constraint."
"review-required","113","1160","Roman / La Casa de Carlota","其他设计相关相关机会","Search surfaced a fresh-looking junior graphic-designer mirror; the official Factorial role `311211` is already tracked as the same Barcelona hybrid/indefinite route with Catalan + Spanish medium/high requirements","D","verify","barcelona","巴塞罗那及周边","unknown","junior","初级 / 实习","other","false","false","false","6.6","62","","","","",""
"other-location-or-unclear","114","378","SIVASDESCALZO (SVD)","平面设计师","Junior Graphic Designer / Digital Art Designer talent route","D","verify","other","其他地区或未说明","unknown","junior","初级 / 实习","brand","false","false","false","6.6","52","","https://www.sivasdescalzo.com/en/svd-careers","https://www.sivasdescalzo.com/en/svd-careers | mailto:jobs@sivasdescalzo.com | https://www.behance.net/joblist/191177/Junior-Graphic-Designer | https://es.linkedin.com/posts/sivasdescalzo_svd-seniordesigner-digitalartdesigner-activity-7351160162662912000-eXnD","Manual research/proactive route only: no individual current employer vacancy, dated opening and verified application requisition remains for this legacy talent, outreach or internship reference.","Keep outside the live-job ranking; revisit only when a named current opening is published."
"current-main","115","930889","HEREU","社交媒体经理（时尚品牌一致性与基础平面）","Social Media Manager","C","live","barcelona","Barcelona / 现场工作室 / 全职 / €30k–35k","english","mid","中级 / 2–3 年社媒经验","social","false","true","false","6.5","64","2026-08-07","https://www.linkedin.com/jobs/view/4450072468/","https://www.linkedin.com/jobs/view/4450072468/","2026-08-13 重新打开 HEREU 原始 LinkedIn：Barcelona 现场全职、€30k–35k、2–3 年、Fluent English 和申请入口均在；岗位核心仍是社媒管理而非平面/VI。","Keep only as a lower-ranked brand-content backup. It is primarily social strategy, community management, copy and performance reporting rather than a graphic/VI position, and fluent English is a real gate. Salary is EUR30,000-35,000 gross/year."
"current-main","116","930845","Omnicom Health / Remedy Edge","自由职业 PowerPoint 视觉设计师","Freelance PowerPoint Specialist","C","live","barcelona","Barcelona / hybrid 每周到岗 3 天 / freelance","english","mid","中级 / 2 年以上 / freelance","digital","false","false","false","6.5","70","","https://job-boards.greenhouse.io/omnicomhealth/jobs/5233982008","https://job-boards.greenhouse.io/omnicomhealth/jobs/5233982008","2026-08-13 重新打开 Omnicom Health 官方 Greenhouse：Barcelona 每周 3 天到岗、freelance、2+ 年、working English、作品集和 PPT 样稿要求均确认。","A genuine local visual-production route, especially for presentation systems and complex information design, but not a core VI role. Apply only with polished deck systems, visual storytelling and reusable templates; confirm day rate, project duration, payment terms and expected Spanish usage."
"current-main","117","930826","Carati Studio","自由职业平面与印花设计师（时尚）","Freelance Graphic / Print Designer — Fashion","C","live","barcelona","Barcelona / 部分远程 + Sant Antoni 现场 / 自由职业","englishLikely","unknown","需已有时尚平面 / 印花经验，年限未写","production","false","false","false","6.4","67","2026-08-12","https://www.linkedin.com/jobs/view/4449873353","https://www.linkedin.com/jobs/view/4449873353 | mailto:nita@caratistudio.com","2026-08-13 重新打开 Carati Studio 原始 LinkedIn：Barcelona/Sant Antoni 部分远程自由职业、时尚平面与印花职责仍在；正文明确 Spanish is not required，只是加分，未写英语等级。","A genuine local freelance branch rather than a salaried VI role. Confirm the client entity, project frequency, day rate, invoicing, ownership, onsite rhythm and whether the Zara-team workload is ongoing before accepting a test."
"current-main","118","930827","Zurich Insurance","创意专员（社媒与短视频内容）","Creative Specialist","C","live","barcelona","Barcelona / 全职 / 办公模式待确认","english","mid","中级 / 约 3–4 年","social","false","true","false","6.2","62","2026-08-11","https://www.careers.zurich.com/job/Barcelona-Creative-Specialist/1368923457/","https://www.careers.zurich.com/job/Barcelona-Creative-Specialist/1368923457/ | https://www.linkedin.com/jobs/view/4450330907","2026-08-13 重新打开 Zurich 官方职位 1368923457：Barcelona 全职、约 3–4 年、High level of English、短视频创意执行和 Apply now 均确认。","A formal English-friendly Barcelona creative route, but social content is the centre of gravity rather than brand identity. Apply only if the portfolio can connect platform-native creative to consistent brand tone and measurable campaign outcomes."
"review-required","119","441","Adsmurai Digital Graphic Designer Junior","平面设计师","Adsmurai Digital Graphic Designer Junior","X","verify","barcelona","巴塞罗那及周边","unknown","junior","初级 / 实习","brand","false","false","false","6.2","40","","https://es.linkedin.com/jobs/view/digital-graphic-designer-junior-they-he-she-at-adsmurai-4418339591","https://es.linkedin.com/jobs/view/digital-graphic-designer-junior-they-he-she-at-adsmurai-4418339591 | https://adsmurai.teamtailor.com/jobs","Historical LinkedIn route: https://es.linkedin.com/jobs/view/digital-graphic-designer-junior-they-he-she-at-adsmurai-4418339591 ; official board: https://adsmurai.teamtailor.com/jobs",""
